#Constant Temperature fit results; RIPL III discrete level library; March 2020 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  14  39 Si   1.35476   0.16515   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  14  40 Si   1.31717   0.14940   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  14  41 Si   1.28101   0.13511   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  14  42 Si   1.24676   0.12355   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  14  43 Si   1.21485   0.11556   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  44 Si   1.18568   0.11127   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  45 Si   1.15958   0.11004   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  24 P    2.01690   0.29669   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  25 P    1.93990   0.27421   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  26 P    1.87386   0.25278   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  15  27 P    1.81675   0.23370   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  15  28 P    1.76682   0.21834  -1.83282   0.63588  33  24  14   1  3.91100  0.00000  7.391E-03 *     0             1.943
  15  29 P    1.72257   0.20788   0.83881   0.50244  67  17   7   8  5.74000  4.34300  5.988E-03 *     0             2.156
